cpgs	cor	p	Z	t	1
X1.12119654	-0.288095957547346	0.00227289295893231	-3.08120030200874	3.12654154619317	-0.0370344623078198
X1.16253688	0.459071039067824	4.55329476394434e-07	5.15597202065426	5.37011316730736	0.0675533812498254
X1.18209342	-0.307277974192211	0.00109340816800169	-3.29993907219051	3.35567458254533	-0.00276528184994864
X11.6859520	-0.36008868096078	0.000111568024093743	-3.91777203897236	4.01123252809377	-0.0255521736452009
X11.30230313	0.561004866811542	1.83525082052586e-10	6.59182187527671	7.04281896873397	0.000395243729938538
X12.4375496	-0.203154564359373	0.0332862712167728	-2.14103024550729	2.15620826220863	-0.0142879163515491
X12.5297401	-0.306324491419242	0.00113524378528058	-3.2890005799561	3.34418183582857	-0.00568629923494797
X12.16479317	0.0297946012371502	0.757331175719903	0.309726250392882	0.309772104509041	0.00667300724454102
X12.23397311	0.379107864545038	4.42216763370829e-05	4.14671005517194	4.25762566022663	0.0026538208946023
X12.30019873	0.435557561344692	1.97812799669751e-06	4.85045337658505	5.02848663316739	0.000221749306301151
X12.30189766	0.431914949013888	2.4596860620553e-06	4.80382632579938	4.97673849726178	0.0317464635414928
X12.30568427	-0.500230180138677	2.63046692326747e-08	-5.71174686454906	6.0036837302922	-0.038272211576937
X13.10010411	0.243458079236612	0.0103794109629923	2.58193490931178	2.60857901348366	0.000442928001233015
X14.4318344	-0.349855170984877	0.000179309189092959	-3.7960877753353	3.88107049668595	-0.000183882813032131
X14.8733342	0.207078216771117	0.0299591279883782	2.18359700146854	2.19969979022121	0.00628822275696331
X14.27500997	-0.150345013892409	0.116940908425269	-1.57436569907588	1.58039462845055	-0.00479924619161073
X14.27662992	-0.447849225509523	9.30529950265013e-07	-5.00915999402485	5.20538904002936	-0.101764254796873
X15.526588	-0.606196249817525	2.25576072320924e-12	-7.30460244359877	7.9211072845497	-0.00885864955576618
X15.6488324	0.461100791273821	3.99014724195571e-07	5.18272993279841	5.40025023276927	0.0238996184875136
X15.9683907	0.274203236919997	0.00374603529353015	2.92442739751854	2.96317696893569	0.0478305018504679
X15.20371065	0.453969308503909	6.32145936491818e-07	5.08899406193972	5.29483247005068	0.0324023683994334
X16.4860847	-0.538253570671267	1.32231651086284e-09	-6.25298290285651	6.63717178747674	-0.0135658860596837
X16.10957108	-0.416037730019467	6.17629776491101e-06	-4.60265592025708	4.75460879327346	-0.0248796326946128
X16.17343963	0.547706244837716	5.92639826692511e-10	6.39229321229451	6.80307105887967	0.0206826799401983
X16.20603422	0.232146371571458	0.0146711957031822	2.45733228180896	2.4802953905288	0.0187247041544962
X16.22528554	0.559085119714017	2.18061343222905e-10	6.56275414922455	7.00773257179415	0.0150374074317201
X16.27001509	-0.390590959289044	2.45830319108412e-05	-4.28679656958356	4.40940426013613	-9.19647710467634e-06
X17.14464333	-0.392973842794475	2.17030729256491e-05	-4.3160505377601	4.44120007053301	-0.0495043243585101
X17.14464348	-0.376959442941624	4.92375959228985e-05	-4.12066021858359	4.22948774872091	-0.00861707683710411
X18.2665835	-0.259396224044648	0.00620969948177393	-2.75875127729332	2.7912669492624	-0.0202235875639753
X18.6662278	-0.483876333242643	8.54245193524824e-08	-5.48748346814309	5.74606477675501	-0.0364694481589879
X19.7677666	-0.170925731658505	0.0742015614823165	-1.79392069951476	1.80284310062524	-0.0247324388821253
X19.14089104	-0.314620720256233	0.000815418746483035	-3.38441566940998	3.4445578008283	-0.0162480408107229
X19.17099584	0.335105579673537	0.00034555221328286	3.62243214829754	3.69623340069172	6.99873231580919e-06
X19.18246512	-0.380744114038342	4.07265765110156e-05	-4.16658300194129	4.27910954088057	-0.0142959311646041
X19.18246533	-0.528455168265481	2.96101890493776e-09	-6.11066812825685	6.46892595878778	-0.0913250322525961
X2.1634441	0.347562278654908	0.000198985140093468	3.76896073278945	3.85212667005677	0.00530039348765634
X2.27489821	-0.273382162772973	0.00385530148283131	-2.91520306554035	2.95358615949112	-0.0119257431572452
X20.2764992	0.384813689006699	3.31219367185896e-05	4.21613584855297	4.33274754722668	0.00539886451776155
X20.8900653	-0.483973147167519	8.48461494201818e-08	-5.48879725462921	5.74756605894781	-0.0428532517479932
X20.22255892	-0.269274831108688	0.00444592017826531	-2.86912619739826	2.9057133757911	-0.0137401699380952
X21.379030	0.449943909812087	8.1588161843771e-07	5.03642215990718	5.23589785797541	0.0258998407586358
X21.13797726	0.211123665413967	0.0268282341965171	2.2275608481431	2.244657510866	0.0137299890035104
X22.13673606	-0.41151655636617	7.96024742810647e-06	-4.54596402285938	4.6923357296089	-0.0639605048599183
X22.20766201	-0.144811114258472	0.131194037661382	-1.51557514752308	1.5209531282468	-0.00427405677061331
X22.21262046	-0.481907417508457	9.80365667488273e-08	-5.46079961352666	5.71559260353033	-0.0773833757577022
X22.21262063	-0.557965116640033	2.41016322307261e-10	-6.54583761183327	6.98733860498273	-0.00408076230806888
X23.12470120	0.529996949742856	2.61270009713356e-09	6.13292432244207	6.49515660994431	0.054822000727164
X3.14394026	-0.355899678907589	0.000135748393004583	-3.86783914538956	3.9577552818038	-0.0183484272797448
